provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Critical access hospital,G200000,01402,00300,3,3,3,23832167,32758444,41684721,54364879,69631235,97577749,163094637
Critical access hospital,G200000,01403,00100,2,2,2,8711738,25644733,42577728,42577728,59510723,76443718,85155456
Critical access hospital,G200000,01403,00300,2,2,2,8711738,25644733,42577728,42577728,59510723,76443718,85155456
Critical access hospital,G200000,01404,00100,1,1,1,307321585,307321585,307321585,307321585,307321585,307321585,307321585
Critical access hospital,G200000,01404,00300,1,1,1,307321585,307321585,307321585,307321585,307321585,307321585,307321585
Critical access hospital,G200000,01405,00100,1,1,1,37199372,37199372,37199372,37199372,37199372,37199372,37199372
Critical access hospital,G200000,01405,00300,1,1,1,37199372,37199372,37199372,37199372,37199372,37199372,37199372
Critical access hospital,G200000,01406,00100,1,1,1,44691987,44691987,44691987,44691987,44691987,44691987,44691987
Critical access hospital,G200000,01406,00300,1,1,1,44691987,44691987,44691987,44691987,44691987,44691987,44691987
Critical access hospital,G200000,01500,00100,21,21,21,13920433,29349300,69287856,114089918.428571,166709252,569275385,2395888287
Critical access hospital,G200000,01500,00300,21,21,21,13920433,29349300,69287856,114089918.428571,166709252,569275385,2395888287
Critical access hospital,G200000,01501,00100,7,7,7,23652,44256718,52872216,92106644.4285714,94177951,314981305,644746511
Critical access hospital,G200000,01501,00300,7,7,7,23652,44256718,52872216,92106644.4285714,94177951,314981305,644746511
Critical access hospital,G200000,01502,00100,1,1,1,29672700,29672700,29672700,29672700,29672700,29672700,29672700
Critical access hospital,G200000,01502,00300,1,1,1,29672700,29672700,29672700,29672700,29672700,29672700,29672700
Critical access hospital,G200000,01600,00100,59,59,59,400448,24377914,70800306,250149582.508475,265685139.5,2045943108,14758825368
Critical access hospital,G200000,01600,00300,59,59,59,400448,24377914,70800306,250149582.508475,265685139.5,2045943108,14758825368
Critical access hospital,G200000,01700,00100,146,146,146,296105,17037635.5,56892484.5,346012676.513699,178508647.5,5638038528,50517850771
Critical access hospital,G200000,01700,00300,146,146,146,296105,17037635.5,56892484.5,346012676.513699,178508647.5,5638038528,50517850771
Critical access hospital,G200000,01800,00100,106,106,106,20,4287516.5,27954180.5,672600096.245283,671635204,7431460068,71295610202
Critical access hospital,G200000,01800,00200,84,84,84,2382,9239544,298622413,1072831857.40476,1467572714.25,9393477869,90117876022
Critical access hospital,G200000,01800,00300,110,110,110,2402,5559635.5,101664075.5,1467395329.30909,1734307196.75,11992744382,161413486224
Critical access hospital,G200000,01900,00100,60,60,60,8410,1695465.75,26430549,67068145.6833333,91185308,577141506,4024088741
Critical access hospital,G200000,01900,00200,84,84,84,205,7862773.75,72697070,403253152.583333,277266948.75,12564146840,33873264817
Critical access hospital,G200000,01900,00300,88,88,88,205,6081149.25,77763557.5,430651744.977273,344804524,12564146840,37897353558
Critical access hospital,G200000,02000,00200,7,7,7,1514920,2247262,2403941,2978243.71428571,3486464,5461393,20847706
Critical access hospital,G200000,02000,00300,7,7,7,1514920,2247262,2403941,2978243.71428571,3486464,5461393,20847706
Critical access hospital,G200000,02001,00200,6,6,6,28047,722681.25,3255737,2750144.33333333,4103002,5697592,16500866
Critical access hospital,G200000,02001,00300,6,6,6,28047,722681.25,3255737,2750144.33333333,4103002,5697592,16500866
Critical access hospital,G200000,02002,00100,1,1,1,511577,511577,511577,511577,511577,511577,511577
Critical access hospital,G200000,02002,00200,4,4,4,1832137,2793427.75,8016860,8603640.5,13827072.75,16548705,34414562
Critical access hospital,G200000,02002,00300,4,4,4,1832137,2793427.75,8272648.5,8731534.75,14210755.5,16548705,34926139
Critical access hospital,G200000,02003,00200,4,4,4,1129361,3166418,6247779.5,6770370.75,9851732.25,13456563,27081483
